city,year,TMAX,TMIN,TAVG,TMAX_EXTREME,TMIN_EXTREME,PRCP_SUM
Beijing,1994,19.037260273972603,8.906027397260273,13.971643835616437,37.2,-11.5,813.2
Beijing,1995,18.740000000000002,8.53013698630137,13.635068493150687,35.0,-9.2,572.5
Beijing,1996,17.894535519125682,8.237978142076502,13.066256830601091,36.0,-10.0,700.9
Beijing,1997,18.51698630136986,7.994246575342466,13.255616438356164,38.2,-14.0,430.90000000000003
Beijing,1998,18.474520547945204,8.361917808219177,13.41821917808219,37.2,-14.2,731.7
Beijing,1999,18.651780821917807,7.999452054794521,13.325616438356164,41.9,-12.2,266.9
Beijing,2000,18.281967213114754,7.682786885245902,12.982377049180329,39.4,-15.0,371.09999999999997
Beijing,2001,18.264383561643836,7.795068493150684,13.02972602739726,39.6,-17.0,338.9
Beijing,2002,18.71917808219178,8.009315068493152,13.364246575342467,41.1,-12.8,370.4
Beijing,2003,18.06876712328767,8.243835616438357,13.156301369863014,37.6,-15.0,444.9
Beijing,2004,18.76584699453552,8.921857923497267,13.843852459016393,38.9,-12.9,483.5
Beijing,2005,18.548219178082192,8.57068493150685,13.559452054794521,38.9,-11.5,410.7
Beijing,2006,18.71917808219178,8.936438356164384,13.827808219178083,37.3,-14.7,318.0
Beijing,2007,19.29205479452055,9.384383561643837,14.338219178082193,37.3,-11.7,483.90000000000003
Beijing,2008,18.66448087431694,8.723770491803279,13.69412568306011,36.3,-13.5,626.3
Beijing,2009,18.733424657534247,8.476712328767123,13.605068493150686,39.6,-12.2,480.6
Beijing,2010,17.611506849315067,8.204383561643835,12.90794520547945,40.6,-16.7,522.5
Beijing,2011,18.561643835616437,8.66876712328767,13.615205479452055,35.9,-11.6,720.6
Beijing,2012,17.895628415300546,8.142622950819671,13.019125683060109,38.0,-13.7,733.2
Beijing,2013,7.574698795180724,8.838,8.206349397590362,29.0,-14.1,662.0
Beijing,2014,18.923076923076923,10.958035714285714,14.940556318681319,36.3,-11.2,509.2
Beijing,2015,12.352702702702704,10.609345794392524,11.481024248547614,33.2,-9.2,482.4
Chicago,1960,13.987704918032787,4.701092896174864,9.344398907103825,37.2,-27.2,717.6
Chicago,1961,14.632328767123289,3.716986301369863,9.174657534246576,33.9,-22.2,934.9
Chicago,1962,14.387123287671233,3.6145205479452054,9.000821917808219,34.4,-26.1,553.8
Chicago,1963,14.61972602739726,2.3153424657534245,8.467534246575342,35.0,-28.3,642.3
Chicago,1964,15.448087431693988,3.285792349726776,9.366939890710382,35.6,-25.0,756.1
Chicago,1965,14.360821917808218,3.4810958904109586,8.920958904109588,34.4,-25.6,993.3
Chicago,1966,14.889041095890411,3.0394520547945207,8.964246575342466,36.1,-28.9,813.9
Chicago,1967,13.90931506849315,3.719178082191781,8.814246575342466,33.3,-27.2,896.7
Chicago,1968,15.453005464480874,4.901639344262295,10.177322404371585,35.6,-25.0,806.6
Chicago,1969,14.416712328767124,4.869315068493151,9.643013698630138,35.6,-22.2,875.1
Chicago,1970,14.845205479452055,5.248219178082191,10.046712328767123,35.0,-26.1,1103.2
Chicago,1971,15.89917808219178,5.31945205479452,10.60931506849315,36.1,-23.3,700.9
Chicago,1972,13.370765027322404,3.949453551912568,8.660109289617486,33.9,-27.2,1155.9
Chicago,1973,15.513972602739727,6.2586301369863016,10.886301369863014,35.0,-17.8,969.0
Chicago,1974,14.637534246575342,4.816986301369863,9.727260273972602,36.1,-25.0,899.3
Chicago,1975,15.423835616438355,5.753972602739726,10.588904109589041,34.4,-21.7,1007.4
Chicago,1976,15.006830601092895,3.4655737704918037,9.236202185792349,36.7,-25.0,675.2
Chicago,1977,15.520547945205479,5.052876712328767,10.286712328767123,36.7,-27.2,827.5
Chicago,1978,13.859178082191782,3.403561643835616,8.631369863013699,35.0,-23.3,949.5
Chicago,1979,14.301643835616439,3.6191780821917807,8.96041095890411,34.4,-27.2,942.9
Chicago,1980,14.479508196721312,4.008469945355191,9.243989071038252,38.9,-22.2,982.8
Chicago,1981,14.856164383561644,3.8635616438356166,9.35986301369863,35.6,-23.9,996.4
Chicago,1982,14.357534246575343,3.2936986301369866,8.825616438356164,35.0,-32.2,1135.4
Chicago,1983,14.636438356164383,4.25972602739726,9.448082191780822,37.8,-31.7,1253.9
Chicago,1984,14.581967213114755,3.551366120218579,9.066666666666666,37.2,-30.0,864.6
Chicago,1985,13.882191780821918,2.883013698630137,8.382602739726028,37.2,-32.8,1019.1
Chicago,1986,14.975616438356166,4.705479452054795,9.840547945205481,35.0,-22.8,807.1
Chicago,1987,16.496438356164383,5.7775342465753425,11.136986301369863,37.2,-20.6,1051.3
Chicago,1988,15.670491803278688,4.065573770491803,9.868032786885246,40.0,-25.6,847.5
Chicago,1989,14.355068493150686,3.692328767123288,9.023698630136987,38.3,-25.6,749.2
Chicago,1990,15.979452054794521,5.639178082191782,10.809315068493152,35.6,-21.1,1095.9
Chicago,1991,16.08739726027397,5.230410958904109,10.65890410958904,38.3,-19.4,890.3
Chicago,1992,14.240163934426228,4.2081967213114755,9.22418032786885,33.9,-24.4,765.8
Chicago,1993,14.063561643835616,4.2964383561643835,9.18,34.4,-20.6,1142.1
Chicago,1994,15.312602739726028,4.705205479452055,10.008904109589041,35.0,-29.4,751.4
Chicago,1995,15.04986301369863,5.076712328767123,10.063287671232876,40.0,-20.0,835.9
Chicago,1996,13.475136612021856,3.5204918032786887,8.497814207650272,34.4,-28.3,780.9
Chicago,1997,14.033698630136987,4.344657534246576,9.18917808219178,36.1,-22.8,806.4
Chicago,1998,16.696438356164382,7.218904109589041,11.957671232876711,35.0,-18.3,954.1
Chicago,1999,15.963561643835616,5.37013698630137,10.666849315068493,38.3,-26.7,972.2
Chicago,2000,14.926229508196721,4.853005464480875,9.889617486338798,33.9,-22.8,848.4
Chicago,2001,15.392876712328766,5.485753424657534,10.43931506849315,35.0,-18.9,1163.7
Chicago,2002,15.37205479452055,5.620821917808219,10.496438356164385,35.6,-21.7,862.5
Chicago,2003,14.627123287671232,4.238082191780822,9.432602739726027,35.0,-21.7,813.8
Chicago,2004,14.98415300546448,4.877322404371585,9.930737704918032,32.8,-22.8,802.4
Chicago,2005,15.876438356164382,5.533424657534247,10.704931506849315,38.9,-18.3,612.4
Chicago,2006,15.898082191780823,6.3084931506849315,11.103287671232877,37.2,-21.7,1066.2
Chicago,2007,15.602191780821919,5.843013698630137,10.722602739726028,34.4,-23.3,910.1
Chicago,2008,14.254918032786886,4.381420765027322,9.318169398907104,34.4,-21.1,1292.6
Chicago,2009,14.052054794520547,4.579178082191781,9.315616438356164,34.4,-27.8,1082.1
Chicago,2010,15.658904109589042,6.075342465753424,10.867123287671234,34.4,-18.3,956.1
Chicago,2011,15.038356164383561,5.848767123287672,10.443561643835617,37.2,-22.8,1266.5
Chicago,2012,17.72814207650273,7.296174863387979,12.512158469945355,39.4,-15.0,684.3
Chicago,2013,14.438904109589041,4.698356164383562,9.568630136986302,35.6,-21.0,1070.1
Chicago,2014,13.675068493150684,3.798082191780822,8.736575342465754,32.8,-26.6,1003.2
Chicago,2015,15.032602739726027,5.291780821917809,10.162191780821917,33.3,-23.2,1012.9
Guangzhou,1960,26.49590163934426,19.003825136612022,22.74986338797814,35.4,2.2,1410.7
Guangzhou,1961,26.215068493150685,18.829315068493152,22.52219178082192,37.5,1.2,2181.7
Guangzhou,1962,26.284931506849315,18.147945205479452,22.21643835616438,36.5,2.1,1521.6
Guangzhou,1963,27.051506849315068,18.52986301369863,22.79068493150685,37.6,0.1,1340.5
Guangzhou,1964,26.344535519125685,18.9275956284153,22.636065573770495,36.3,4.0,1775.6
Guangzhou,1965,26.385479452054796,18.984109589041097,22.684794520547946,36.1,4.7,2332.5
Guangzhou,1966,27.272054794520546,19.164931506849314,23.218493150684928,36.3,4.2,1364.7
Guangzhou,1967,26.107397260273974,18.0986301369863,22.103013698630136,36.9,0.2,1464.7
Guangzhou,1968,26.423224043715845,18.409562841530054,22.416393442622947,36.6,1.9,1320.5
Guangzhou,1969,25.885205479452054,18.019726027397258,21.952465753424654,37.0,1.3,1452.5
Guangzhou,1970,25.86027397260274,18.384931506849316,22.122602739726027,36.4,2.6,1470.4
Guangzhou,1971,26.28849315068493,17.894520547945206,22.091506849315067,37.4,0.6,1521.1
Guangzhou,1972,25.958196721311477,18.56912568306011,22.263661202185794,36.7,1.6,1928.2
Guangzhou,1973,26.37123287671233,19.014794520547945,22.69301369863014,34.5,2.3,1920.5
Guangzhou,1974,26.197534246575344,18.16986301369863,22.183698630136988,36.1,1.3,1462.7
Guangzhou,1975,25.95095890410959,18.770958904109587,22.360958904109587,34.9,0.9,2516.7
Guangzhou,1976,25.57431693989071,18.14590163934426,21.860109289617483,36.2,1.4,1614.9
Guangzhou,1977,26.746849315068495,18.66,22.70342465753425,35.7,1.5,1391.9
Guangzhou,1978,25.874520547945206,18.842191780821917,22.35835616438356,35.1,1.6,1644.9
Guangzhou,1979,26.056164383561644,18.622739726027397,22.33945205479452,36.2,1.6,1719.7
Guangzhou,1980,26.516120218579236,18.952732240437157,22.734426229508195,38.1,2.6,1492.2
Guangzhou,1981,26.283013698630135,18.933972602739725,22.60849315068493,35.9,3.8,2219.7
Guangzhou,1982,26.116438356164384,18.93068493150685,22.523561643835617,37.5,2.4,1571.8
Guangzhou,1983,25.82958904109589,18.673424657534248,22.25150684931507,36.1,3.0,2165.8
Guangzhou,1984,25.368852459016395,18.31994535519126,21.844398907103827,36.1,2.3,1243.0
Guangzhou,1985,25.716164383561644,18.77123287671233,22.243698630136986,35.3,2.9,1706.0
Guangzhou,1986,26.733424657534247,18.743561643835616,22.73849315068493,36.9,3.1,1372.1
Guangzhou,1987,26.95972602739726,19.68109589041096,23.32041095890411,36.9,3.6,1897.6
